Gene Symbol,GSM1559340,GSM1559311,GSM1559333,GSM1559305,GSM1559326,GSM1559353,GSM1559360,GSM1559329,GSM1559335,GSM1559366,GSM1559319,GSM1559341,GSM1559348,GSM1559322,GSM1559362,GSM1559371,GSM1559301,GSM1559368,GSM1559334,GSM1559349,GSM1559355,GSM1559323,GSM1559363,GSM1559307,GSM1559343,GSM1559310,GSM1559317,GSM1559313,GSM1559332,GSM1559308,GSM1559351,GSM1559365,GSM1559303,GSM1559304,GSM1559347,GSM1559338,GSM1559352,GSM1559361,GSM1559373,GSM1559312,GSM1559330
ZNF839,7.04410030688919,7.635647697913875,7.44976016097487,6.79242491078938,7.54002716372963,7.31894905602043,7.5600807481087955,7.339764369290995,7.15471212225027,7.402255248445665,7.804381244865509,7.3728457232788145,7.583168616580664,7.535016843738401,7.86731678580291,7.2098995891173345,7.271536818496445,7.6648213930058,7.229871534320271,7.99567618688687,6.99775604512209,7.380391136822205,7.35797269395862,7.36080206977188,7.57539773028991,7.544667785771265,7.7747963002701,7.76590396654281,7.10593151036413,7.60811105500036,6.936056148274805,7.372618305097134,7.845042891374615,7.24102447350843,7.42555101695548,7.409267777434195,7.830206448224271,7.120346466974875,6.801955082404845,7.51567291384981,7.49380823883674
MVK,7.691436365050388,7.897524556973432,7.543478315432035,7.679556659942808,7.524410519285195,7.711239928231112,7.721722766388443,7.618606572957667,7.73762171642924,7.73544834642564,7.757310289851023,7.555678759180095,7.7315936265051,7.610276992066217,7.248229522666797,7.282694905083795,7.490481939805425,7.524168208334403,7.594228359484848,7.724592040555128,7.630301912231598,7.616905119722213,7.72276247647985,7.872615106815938,7.77671832219523,7.459586731515699,7.635084966307637,7.666002286983325,7.727865351816778,7.683608114178385,7.560393384782232,7.756578750518005,7.22704330566615,7.776115340820183,7.799221706974483,7.627427340231187,7.488789237602052,7.748442767164143,7.63934998570433,7.561078801116815,7.600422729885825
SMC4,9.767192529236974,9.430968684467416,9.055897892753716,8.883802864662796,8.092401822290112,9.112044383419708,9.253386686583529,9.12090538948968,9.066554395794869,9.497181506729143,8.381756776724337,9.72026419259891,8.04903128935665,8.509698357251816,8.65806651386877,8.515821248266747,9.185993449096053,9.470468702345444,8.523586118247193,8.3875527306435,9.223048316928322,8.331848063343267,9.402224631441856,9.403665378539866,8.42719867244432,9.162961873897356,8.624139059014139,8.720022697163822,9.083915657175195,8.56225541225197,9.274855726094088,8.175057896935021,9.608506209593632,8.161718398005211,8.984351924416437,8.769066895537527,9.215596118014972,8.890172681297104,8.85306156539806,8.523361036279203,9.20157186445225
ITCH,7.240242081755301,6.71724472863637,7.9000251151870335,7.237947204239883,6.983952377887327,6.4982474411162245,7.0233488305654745,7.4385660968138465,7.195960083896758,7.08618374716205,6.66733862689274,6.632071194741537,6.535087325472198,7.050131920771377,6.78981770868707,6.967421318610221,6.8156083928790245,6.947235809598996,6.48817092715687,7.060953020273359,7.196352416197366,6.373413511451083,7.545965644858889,7.570331773362006,6.550002014087823,6.696231365770108,6.814226390629888,7.203000054494709,6.997667448790231,6.844355342686591,6.762487554167813,6.979224188908618,7.285128504818402,6.595085604184061,6.901448398722956,7.543672624658057,6.887806715868695,7.133399802679725,7.257885720477568,7.3296799771518595,6.887769573433626
ARMT1,9.60172012521621,8.28728951188367,9.43973198001884,8.76781694377876,9.08696368466292,8.96786394682703,8.81915193381846,9.19406794838305,9.73433045629259,8.54268549115103,8.92109717866574,9.17928847964593,8.37066221911292,8.85812204279425,9.21380504182431,10.2702684279039,8.91752665066783,9.53640353410356,9.15671204095344,9.01812213823978,8.97905374660351,9.06522253545759,10.4932671846168,9.229900343928,9.90086646435257,8.45520091218443,9.2095562329489,8.23401604543963,9.43009283714936,9.0334287526855,9.24849336049154,9.18837879004155,9.68306114085586,9.0874860141794,11.445848477334,9.12957316045278,8.89286168675021,9.63877989081834,9.62754268137824,8.71753820144607,9.76029911488258
CDC42BPB,6.691669449781285,7.628466652224436,7.505698803537005,7.085145175666256,7.529850687330001,7.524433970964111,7.94002708635078,7.916036314453516,7.71850720714173,7.493954633275745,7.587423844847841,7.785652794913965,7.586458547692935,7.833325124629665,7.943975611839486,7.482719036294975,7.3662227999164305,7.798896153204129,7.232462002361945,8.32913355860887,7.258451806986405,7.75412147794717,7.785778583432335,7.726918172631155,7.804709181348414,7.949325676779885,7.429632077030245,7.6534779995664755,7.5609326716115,7.29323412692141,7.106798660992565,7.606020733868736,7.61488564302328,7.435159089718465,7.77277581866456,7.645701726954989,7.69275616438923,7.97867096801778,7.442557065530585,7.804535206465186,7.490425198241205
PRPF4B,9.283948892638,9.698392563342066,9.482545150262496,10.158820151802876,9.174714819075424,10.5818298786198,8.828739283923047,9.989247446875636,9.809006591903673,8.29115729585456,9.737548774854924,9.207282718779048,8.50682474892526,9.492256145267923,9.599689287970078,10.552035627507534,9.415558507968791,9.015154860971434,10.612196909951434,9.923343163175526,9.637731264254944,8.264624360629497,9.522290656446968,9.635287945579572,8.950503305111189,9.790373240751224,9.817787327871017,9.60078801701581,9.544808857407624,9.788822610990788,9.651990719053783,8.969620204418563,9.558761733573457,8.959855520929088,9.316766867773923,10.02425426938062,10.617562826955966,8.669471496655426,9.22921032246304,9.3363211462416,9.920039432244764
APOBEC3G,8.35840812100203,7.347452365804717,8.27238644714881,8.544145042912655,8.333244709373885,8.271965365677998,7.717011627256987,8.005413705743557,7.776580744284174,8.148944153291103,7.784136672538547,8.545168848908787,8.741931078168733,8.345976615025354,8.356121487762117,8.6626724086409,8.269268369924228,7.114039428168944,8.509592891213083,8.350555435269678,8.229434466990076,8.923232791659414,7.421855299401669,7.763159834485154,9.066835279628268,7.08505668940946,8.555344211761266,8.243501306461116,7.767317151578077,8.242035648483746,7.997316203561634,8.330912146461513,9.201144711064051,8.02532157553066,7.8641929099710035,7.693163894776236,9.486913693094769,8.71919936744703,8.946200762145594,8.337188037790524,8.394224072021643
TBCB,11.138675741286434,11.179605938714966,11.117208946730663,10.698068135121934,11.598490241209667,11.309117811494737,10.399474064034033,11.234247793030832,10.7808162729458,12.000583685819532,10.4540519628688,11.257050023993068,11.178746989821969,11.134494775801532,10.6181089734432,11.088622914656634,11.369822875679466,11.9715345241434,11.037736030460868,10.518999525571234,11.292400367466431,10.769187047859134,11.7174697809173,10.837649166760334,9.818224314784834,11.713195326273834,10.116559745098408,11.254137389136869,11.182048860443167,10.755806316443532,10.787736957604102,10.785792976722169,10.637337693643834,11.216162851777932,11.305058391048268,10.857168539634069,10.8602147543279,10.9503290440932,11.177640415827032,12.1255246509348,11.233622426098966
DPM2,8.96030834189301,8.6194629548629,8.64449324250583,9.12946280133334,9.01107172345581,8.80603338078975,8.83025698385235,8.97649380271381,8.60387377622632,8.6516830547272,8.271158445979,8.80554339677879,9.16002514257442,9.11260509674183,7.57968454487719,8.01840121338341,8.75289272787018,7.81026279596668,8.05902946425551,8.81478811387557,8.67166447752806,8.2702321972539,8.47698801763858,9.04892337595779,8.71779944447138,8.44302853358243,8.13046501025437,8.38838987711041,8.7355902958215,9.03335759696146,8.12111319049305,8.18520055604442,8.80254556784635,8.5216438224643,9.07997193303929,8.93253665512063,9.00445038692208,9.0129334416336,9.0501179039333,8.70890781071281,8.70833693111897
