"","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif_logFC1","signif_logFC2","signif_logFC3","Gene.Symbol","signif"
"PGAP6",0.0221768367522795,9.25829029409522,0.0739268248774536,0.941412771928365,0.996863708343732,-5.05583686481964,FALSE,FALSE,FALSE,"PGAP6",FALSE
"MAT2A",-0.0239422977740768,10.0985082253239,-0.0737989106496699,0.941513955994,0.996863708343732,-5.05584269779535,FALSE,FALSE,FALSE,"MAT2A",FALSE
"CMC2",-0.0302806776750991,9.68727855267844,-0.0737475982274637,0.941554545963798,0.996863708343732,-5.05584503483885,FALSE,FALSE,FALSE,"CMC2",FALSE
"TEFM",-0.0202963753238808,7.42002150538163,-0.0737407540153596,0.94155995999339,0.996863708343732,-5.05584534643823,FALSE,FALSE,FALSE,"TEFM",FALSE
"EIF1B",0.0113542531447961,7.69166938173244,0.0736846811972367,0.941604315810022,0.996863708343732,-5.05584789820084,FALSE,FALSE,FALSE,"EIF1B",FALSE
"CNBP",0.0222845486262416,10.6596115607369,0.0734339245701982,0.941802676510977,0.996863708343732,-5.05585928589532,FALSE,FALSE,FALSE,"CNBP",FALSE
"RIPOR1",0.0131303327335256,8.78813229823663,0.0733983623812132,0.941830808236836,0.996863708343732,-5.05586089775093,FALSE,FALSE,FALSE,"RIPOR1",FALSE
"ABT1",0.013584655287972,9.38133505637287,0.0732484071796884,0.941949432205535,0.996863708343732,-5.05586768588347,FALSE,FALSE,FALSE,"ABT1",FALSE
"STMN1",-0.0172025510620636,7.50916098898003,-0.0731123498153503,0.942057063267107,0.996863708343732,-5.05587383288434,FALSE,FALSE,FALSE,"STMN1",FALSE
"SLC16A8",-0.0126388151647317,6.99336628823554,-0.0729278834240974,0.942202991064528,0.996863708343732,-5.05588214873489,FALSE,FALSE,FALSE,"SLC16A8",FALSE
"CDC37L1",-0.023414893881722,7.57618796317253,-0.0724762619060064,0.942560268588946,0.996863708343732,-5.05590241944562,FALSE,FALSE,FALSE,"CDC37L1",FALSE
"PSMB2",0.0133645994447917,8.6455257183993,0.072299277792996,0.942700283887044,0.996863708343732,-5.0559103289211,FALSE,FALSE,FALSE,"PSMB2",FALSE
"FNBP1",0.0258473022145004,8.53314245963473,0.0719053580572729,0.943011927411709,0.996863708343732,-5.05592786392044,FALSE,FALSE,FALSE,"FNBP1",FALSE
