"Gene","log2FoldChange","pvalue","padj"
"ELOA",-0.307414063862681,0.10034330688421,0.999975617694874
"ELOA-AS1",-0.0362548532474906,0.907127896719552,0.999975617694874
"PITHD1",-0.269844403772852,0.409464485429919,0.999975617694874
"LYPLA2",-0.4181813830631,0.148956369796964,0.999975617694874
"GALE",-0.836215760378841,0.0654836971871722,0.999975617694874
"HMGCL",0.0871315036566883,0.775335304473272,0.999975617694874
"FUCA1",-0.0652583429381247,0.866227333124693,0.999975617694874
"CNR2",-0.539820675180687,0.484137026752519,0.999975617694874
"BTBD6P1",0.247363160062516,0.756994292429857,0.999975617694874
"PNRC2",0.0852106588135563,0.680086026121694,0.999975617694874
"SRSF10",0.112938892753371,0.726982418538804,0.999975617694874
"MYOM3",-0.511212484441224,0.4076136105369,0.999975617694874
"IL22RA1",-0.436636937922163,0.495854263647254,0.999975617694874
"IFNLR1",-0.0543951507082565,0.895661568548156,0.999975617694874
"ENSG00000232298",0.443072252777837,0.506197615293215,0.999975617694874
"GRHL3",-0.867642286688337,0.219079263599297,0.999975617694874
"STPG1",0.0280505597139841,0.925627637109706,0.999975617694874
"NIPAL3",-0.0837163047163544,0.751269931083805,0.999975617694874
"RCAN3",-0.0585731237470399,0.859450560390034,0.999975617694874
"NCMAP",-0.324769452773666,0.546025875601716,0.999975617694874
"SRRM1",0.0729487637389462,0.761736147646245,0.999975617694874
"CLIC4",-0.0601664938559824,0.875654259081198,0.999975617694874
"RUNX3",0.326733857204645,0.487010715436034,0.999975617694874
"ENSG00000229162",-0.284165083814003,0.669676121925513,0.999975617694874
"SYF2",0.26690084175615,0.430185263123785,0.999975617694874
"RSRP1",0.12651358781717,0.68582708424979,0.999975617694874
"ENSG00000261349",0.461490738452325,0.485503570945299,0.999975617694874
"TMEM50A",-0.0133646276407212,0.951839778189255,0.999975617694874
"RHCE",0.661874144233402,0.200547789175896,0.999975617694874
"TMEM57",0.00117332054204245,0.997313610079369,0.999975617694874
"LDLRAP1",-0.122500098858992,0.703589199494553,0.999975617694874
"ENSG00000225643",0.0223718247056443,0.96634592498247,0.999975617694874
"MAN1C1",-0.0897566514690077,0.822871238114761,0.999975617694874
"SELENON",-0.0681806188221764,0.783085859999628,0.999975617694874
"ENSG00000228172",-0.728054601642745,0.156731312447774,0.999975617694874
